Time,groundFloor.PI_livingroom.y,groundFloor.PI_hobby.y,groundFloor.PI_corridor.y,groundFloor.PI_WC.y,groundFloor.PI_kitchen.y,upperFloor.PI_bedroom.y,upperFloor.PI_children1.y,upperFloor.PI_bath.y,upperFloor.PI_children2.y
946800,869.78485,479.03577,240.84712,375.62738,760.15027,612.9888,498.87592,482.28702,577.7504
950400,856.26935,459.34558,243.50928,387.33383,678.43933,609.1796,483.28204,510.8429,512.3063
954000,845.9053,446.46768,243.57048,385.35797,629.0937,596.46844,466.71448,511.5132,472.1556
957600,838.96783,438.87286,242.45767,380.4063,601.7353,581.4285,453.86273,502.06522,450.78204
961200,836.4669,434.97318,241.65842,377.27716,588.74493,568.02106,445.79062,491.83307,441.80127
964800,837.506,433.2674,241.50941,376.40808,584.3444,557.6594,441.3944,484.08807,439.85916
968400,841.0424,432.7955,242.09991,377.2846,584.94684,550.48987,439.38235,479.25024,441.3538
972000,849.0343,433.76166,244.65941,381.3739,589.82983,547.17706,440.0453,477.52502,445.39493
975600,861.0781,435.8076,248.99461,387.87033,597.7448,547.2767,442.60156,478.0293,451.02353
979200,869.37506,436.93427,252.19838,393.43692,601.9152,547.6511,443.4742,480.49432,452.6097
982800,835.4151,434.1251,251.97128,893.88983,143.23035,412.2992,437.21783,1042.4923,76.656364
986400,1019.34906,499.51273,247.31822,157.8223,979.567,577.6687,375.0673,7.5900345,748.3958
990000,804.44025,527.62537,239.29358,232.48187,956.4875,601.25385,453.01416,209.97993,739.05206
993600,403.19724,490.75824,227.84395,292.59775,626.1229,540.3057,449.5199,322.77133,527.6557
997200,89.21337,446.97794,213.2775,304.69836,371.30518,454.9797,414.8309,379.58823,342.9294
1000800,0,411.8719,200.26724,298.5661,240.05934,382.92917,378.8112,411.08508,237.55872
