Time,groundFloor.PI_livingroom.y,groundFloor.PI_hobby.y,groundFloor.PI_corridor.y,groundFloor.PI_WC.y,groundFloor.PI_kitchen.y,upperFloor.PI_bedroom.y,upperFloor.PI_children1.y,upperFloor.PI_bath.y,upperFloor.PI_children2.y
892800,941.7518,473.9715,307.90195,445.45166,660.816,621.70654,500.73074,534.0139,523.78015
896400,947.2743,468.90802,302.98215,989.52405,151.81377,521.22845,490.94928,1134.5249,86.28763
900000,1109.366,556.219,289.40305,222.0622,1013.34344,676.92267,447.09933,74.58428,783.81384
903600,855.9041,566.98816,269.2845,264.90805,986.258,677.84106,506.0341,251.69144,782.17096
907200,434.83994,517.2256,248.3462,303.43127,654.3519,597.774,487.57602,355.2295,572.4015
910800,123.69229,466.82846,229.91191,308.8933,406.40488,503.08548,445.93777,411.05817,391.69028
914400,0,428.26285,214.64337,301.1697,271.0854,424.39362,407.12064,441.8189,281.34973
918000,45.650433,402.0203,204.93515,296.55762,253.8404,379.25952,381.60703,456.37256,240.96513
921600,219.50356,395.10928,203.21867,304.12698,316.2105,373.65405,381.1918,465.10654,243.43729
925200,400.59946,398.3251,205.6183,316.03485,388.9896,386.88788,394.9334,470.7609,269.3668
928800,531.8395,401.63712,207.26637,323.94275,437.07364,406.14868,406.76422,473.8889,299.27176
932400,443.4115,400.94824,205.25919,725.1828,122.93295,187.98474,409.71674,950.4525,64.75683
936000,707.8135,380.9185,202.20903,38.299526,843.3985,377.2997,278.31378,0,642.7014
939600,739.70636,460.32285,200.11526,164.88945,892.7265,483.6691,415.8944,234.73248,687.0725
943200,732.9169,465.9302,201.8552,268.32834,762.4813,545.7095,470.46188,400.60562,611.8481
946800,728.8325,454.69586,207.49347,318.01865,661.1097,573.7211,480.73358,484.833,541.08453
950400,725.4631,441.69952,211.39627,333.023,595.22003,578.9944,470.98145,513.1136,488.76138
954000,720.47174,430.8309,212.13916,331.68707,555.61414,570.9707,455.1969,512.113,454.40048
957600,715.87054,422.82562,210.9798,325.8332,533.7184,557.2145,440.53537,500.2268,434.0528
961200,711.07697,416.72433,208.3013,319.16757,521.8541,541.78937,428.47375,486.5798,422.23804
964800,707.46747,412.12497,205.3195,313.8912,516.20886,527.39294,419.43253,475.0925,415.55542
968400,706.9436,408.96027,203.25293,311.28177,515.0722,515.7132,413.43686,466.93387,412.24338
972000,707.9633,406.498,201.6359,309.78644,516.1782,506.5221,409.04303,461.1763,410.3481
975600,708.6245,404.1776,199.90166,308.1055,517.8656,499.01886,405.10406,456.70294,408.5481
979200,709.8971,402.1877,198.7548,308.5448,517.6638,493.1824,401.76685,455.1313,404.52756
982800,542.20795,397.62012,197.29056,690.4969,125.668526,240.02786,393.94336,915.1116,67.023766
986400,745.7554,354.4052,195.12666,8.869877,827.20416,407.55817,238.50197,0,629.6305
990000,685.75256,432.60406,193.68036,136.69456,850.40094,481.00482,358.64963,214.02829,648.3527
